start_time,war
1864-12-01,WORLD WAR I (WESTERN FRONT 1914)
1865-03-01,WORLD WAR I (WESTERN FRONT 1914)
1865-03-01,WORLD WAR I (WESTERN FRONT 1914)
1865-03-01,WORLD WAR I (WESTERN FRONT 1914)
1865-04-01,WORLD WAR I (WESTERN FRONT 1914)
1865-04-01,WORLD WAR I (WESTERN FRONT 1914)
1865-04-01,WORLD WAR I (WESTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-08-01,WORLD WAR I (EASTERN FRONT 1914)
1870-09-01,WORLD WAR I (EASTERN FRONT 1914)
1870-11-01,WORLD WAR I (EASTERN FRONT 1914)
1870-12-01,WORLD WAR I (EASTERN FRONT 1914)
1871-01-01,WORLD WAR I (EASTERN FRONT 1914)
1871-01-01,WORLD WAR I (SERBIAN FRONT 1914)
1871-01-01,WORLD WAR I (SERBIAN FRONT 1914)
1879-01-01,WORLD WAR I
1879-07-01,WORLD WAR I
1881-02-01,WORLD WAR I
1882-09-01,WORLD WAR I
1898-09-01,WORLD WAR I
1896-03-01,WORLD WAR I
1899-11-01,WORLD WAR I
1899-12-01,WORLD WAR I (ITALIAN FRONT 1915)
1899-12-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-01-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-01-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-02-01,WORLD WAR I (ITALIAN FRONT 1915)
1900-02-01,WORLD WAR I (TURKISH FRONTS 1915)
1900-02-01,WORLD WAR I (TURKISH FRONTS 1915)
1898-07-01,WORLD WAR I (TURKISH FRONTS 1915)
1904-04-01,WORLD WAR I (TURKISH FRONTS 1915)
1904-05-01,WORLD WAR I
1904-06-01,WORLD WAR I
1904-06-01,WORLD WAR I
1904-08-01,WORLD WAR I
1904-10-01,WORLD WAR I
1905-01-01,WORLD WAR I
1905-01-01,WORLD WAR I
1905-01-01,WORLD WAR I
1905-02-01,WORLD WAR I
1905-03-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-10-01,WORLD WAR I
1912-11-01,WORLD WAR I
1912-11-01,WORLD WAR I
1913-03-01,WORLD WAR I
1920-08-01,WORLD WAR I
1920-09-01,WORLD WAR I
1937-03-01,WORLD WAR I
1938-07-01,WORLD WAR I
1938-08-01,WORLD WAR I
1938-08-01,WORLD WAR I
1938-08-01,WORLD WAR I
1938-08-01,WORLD WAR I (TURKISH FRONTS 1917)
1938-08-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-05-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-08-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-09-01,WORLD WAR I (TURKISH FRONTS 1917)
1939-12-01,WORLD WAR I (TURKISH FRONTS 1917)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-09-01,WORLD WAR I (WESTERN FRONT 1918)
1914-08-01,WORLD WAR I (WESTERN FRONT 1918)
